Ontology ID	Label	Type	Parent	Logic	Domain	Range	Source Ontology	Note
ID	A rdfs:label	TYPE	C %	C %			AI dc11:source	A rdfs:comment
BFO:0000040	material entity	owl:Class					http://purl.obolibrary.org/obo/bfo.owl	
BFO:0000041	immaterial entity	owl:Class					http://purl.obolibrary.org/obo/bfo.owl	
BFO:0000029	site	owl:Class	immaterial entity				http://purl.obolibrary.org/obo/bfo.owl	
BFO:0000015	process	owl:Class					http://purl.obolibrary.org/obo/bfo.owl	
BFO:0000017	realizable entity	owl:Class					http://purl.obolibrary.org/obo/bfo.owl	
BFO:0000016	disposition	owl:Class	realizable entity				http://purl.obolibrary.org/obo/bfo.owl	
BFO:0000019	quality	owl:Class					http://purl.obolibrary.org/obo/bfo.owl	
BFO:0000031	generically dependent continuant	owl:Class					http://purl.obolibrary.org/obo/bfo.owl	
CORE:0000001	has material part	owl:ObjectProperty			material entity	material entity		temporary ID
CORE:0000002	has immaterial part	owl:ObjectProperty			immaterial entity	immaterial entity		temporary ID
RO:0002018	has component process	owl:ObjectProperty			process	process	http://purl.obolibrary.org/obo/ro.owl	same as 'has process part'?
CORE:0000003	has GDC part	owl:ObjectProperty			generically dependent continuant	generically dependent continuant		temporary ID
RO:0000056	participates in	owl:ObjectProperty				process	http://purl.obolibrary.org/obo/ro.owl	domain: material entity?
RO:0000057	has participant	owl:ObjectProperty			process		http://purl.obolibrary.org/obo/ro.owl	range: material entity?
RO:0000053	bearer of	owl:ObjectProperty			material entity	realizable entity	http://purl.obolibrary.org/obo/ro.owl	"this is broader, range SDC"
RO:0000086	has quality	owl:ObjectProperty			material entity	quality	http://purl.obolibrary.org/obo/ro.owl	
RO:0001025	located in	owl:ObjectProperty			material entity	site	http://purl.obolibrary.org/obo/ro.owl	
CORE:0000004	bounds	owl:ObjectProperty			material entity	site		"Optionally - FMA:bounds exists"
CORE:0000005	concretized in	owl:ObjectProperty			generically dependent continuant	quality		"'is concretized as' exists, but that is GDC -> SDC"
RO:0000091	has disposition	owl:ObjectProperty			material entity	disposition	http://purl.obolibrary.org/obo/ro.owl	"Should be subproperty of 'bearer of', not supported in template"